ACTIVITY;SPECIFIC MOTION;METs
home activities;child care, sitting/kneeling (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), light effort, general;2,00
home activities;child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort;3,00
home activities;reclining with baby;1,50
home activities;breastfeeding, sitting or reclining;2,00
home activities;sit, playing with animals, light effort, only active periods;2,50
home activities;stand, playing with animals, light effort, only active periods;2,80
home activities;walk/run, playing with animals, general, light effort, only active periods;3,00
home activities;walk/run, playing with animals, moderate effort, only active periods;4,00
home activities;walk/run, playing with animals, vigorous effort, only active periods;5,00
home activities;standing, bathing dog;3,50
home activities;animal care, household animals, general;2,30
home activities;elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods;4,00
home activities;elder care, disabled adult, feeding, combing hair, light effort, only active periods;2,30
home repair;airplane repair;3,00
home repair;automobile body work;4,00
home repair;automobile repair, light or moderate effort;3,30
home repair;carpentry, general, workshop;3,00
home repair;carpentry, outside house, installing rain gutters,carpentry, outside house, building a fence;6,00
home repair;carpentry, outside house, building a fence;3,80
home repair;carpentry, finishing or refinishing cabinets or furniture;3,30
home repair;carpentry, sawing hardwood;6,00
home repair;carpentry, home remodeling tasks, moderate effort;4,00
home repair;carpentry, home remodeling tasks, light effort;2,30
home repair;caulking, chinking log cabin;5,00
home repair;caulking, except log cabin;4,50
home repair;cleaning gutters;5,00
home repair;excavating garage;5,00
home repair;hanging storm windows;5,00
home repair;hanging sheet rock inside house;5,00
home repair;hammering nails;3,00
home repair;home repair, general, light effort;2,50
home repair;home repair, general, moderate effort;4,50
home repair;home repair, general, vigorous effort;6,00
home repair;laying or removing carpet;4,50
home repair;laying tile or linoleum,repairing appliances;3,80
home repair;repairing appliances;3,00
home repair;painting, outside home;5,00
home repair;painting inside house,wallpapering, scraping paint;3,30
home repair;painting;4,50
home repair;plumbing, general;3,00
home repair;put on and removal of tarp – sailboat;3,00
home repair;roofing;6,00
home repair;sanding floors with a power sander;4,50
home repair;scraping and painting sailboat or powerboat;4,50
home repair;sharpening tools;2,00
home repair;spreading dirt with a shovel;5,00
home repair;washing and waxing hull of sailboat or airplane;4,50
home repair;washing and waxing car;2,00
home repair;washing fence, painting fence, moderate effort;4,50
home repair;wiring, tapping-splicing;3,30
inactivity quiet/light;lying quietly and watching television;1,00
inactivity quiet/light;lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading);1,30
inactivity quiet/light;sitting quietly and watching television;1,30
inactivity quiet/light;sitting quietly, general;1,30
inactivity quiet/light;sitting quietly, fidgeting, general, fidgeting hands;1,50
inactivity quiet/light;sitting, fidgeting feet;1,80
inactivity quiet/light;sitting, smoking;1,30
inactivity quiet/light;sitting, listening to music (not talking or reading) or watching a movie in a theater;1,50
inactivity quiet/light;sitting at a desk, resting head in hands;1,30
inactivity quiet/light;sleeping;0,95
inactivity quiet/light;standing quietly, standing in a line;1,30
inactivity quiet/light;standing, fidgeting;1,80
inactivity quiet/light;reclining, writing;1,30
inactivity quiet/light;reclining, talking or talking on phone;1,30
inactivity quiet/light;reclining, reading;1,30
inactivity quiet/light;meditating;1,00
lawn and garden;carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to-moderate effort;3,30
lawn and garden;carrying, loading or stacking wood, loading/unloading or carrying lumber;5,50
lawn and garden;chopping wood, splitting logs, moderate effort;4,50
lawn and garden;chopping wood, splitting logs, vigorous effort;6,30
lawn and garden;clearing light brush, thinning garden, moderate effort;3,50
lawn and garden;clearing brush/land, undergrowth, or ground, hauling branches, wheelbarrow chores, vigorous effort;6,30
lawn and garden;digging sandbox, shoveling sand;5,00
lawn and garden;digging, spading, filling garden, composting, light-to-moderate effort;3,50
lawn and garden;digging, spading, filling garden, compositing;5,00
lawn and garden;digging, spading, filling garden, composting, vigorous effort;7,80
lawn and garden;driving tractor;2,80
lawn and garden;felling trees, large size;8,30
lawn and garden;felling trees, small-medium size;5,30
lawn and garden;gardening with heavy power tools, tilling a garden, chain saw;5,80
lawn and garden;gardening, using containers, older adults > 60 years;2,30
lawn and garden;irrigation channels, opening and closing ports;4,00
lawn and garden;laying crushed rock;6,30
lawn and garden;laying sod;5,00
lawn and garden;mowing lawn, general;5,50
lawn and garden;mowing lawn, riding mower;2,50
lawn and garden;mowing lawn, walk, hand mower;6,00
lawn and garden;mowing lawn, walk, power mower, moderate or vigorous effort;5,00
lawn and garden;mowing lawn, power mower, light or moderate effort;4,50
lawn and garden;operating snow blower, walking;2,50
lawn and garden;planting, potting, transplanting seedlings or plants, light effort;2,00
lawn and garden;planting seedlings, shrub, stooping, moderate effort;4,30
lawn and garden;planting crops or garden, stooping, moderate effort;4,30
lawn and garden;planting trees;4,50
lawn and garden;raking lawn or leaves, moderate effort;3,80
lawn and garden;raking lawn;4,00
lawn and garden;raking roof with snow rake;4,00
lawn and garden;riding snow blower;3,00
lawn and garden;sacking grass, leaves;4,00
lawn and garden;shoveling dirt or mud;5,50
lawn and garden;shoveling snow, by hand, moderate effort;5,30
lawn and garden;shoveling snow, by hand;6,00
lawn and garden;shoveling snow, by hand, vigorous effort;7,50
lawn and garden;trimming shrubs or trees, manual cutter;4,00
lawn and garden;trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort;3,50
lawn and garden;walking, applying fertilizer or seeding a lawn, push applicator;3,00
lawn and garden;watering lawn or garden, standing or walking;1,50
lawn and garden;weeding, cultivating garden, light-to-moderate effort;3,50
lawn and garden;weeding, cultivating garden;4,50
lawn and garden;weeding, cultivating garden, using a hoe, moderate-to-vigorous effort;5,00
lawn and garden;gardening, general, moderate effort;3,80
lawn and garden;picking fruit off trees, picking fruits/vegetables, moderate effort;3,50
lawn and garden;picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort;4,50
lawn and garden;implied walking/standing – picking up yard, light, picking flowers or vegetables;3,30
lawn and garden;walking, gathering gardening tools;3,00
lawn and garden;wheelbarrow, pushing garden cart or wheelbarrow;5,50
lawn and garden;yard work, general, light effort;3,00
lawn and garden;yard work, general, moderate effort;4,00
lawn and garden;yard work, general, vigorous effort;6,00
miscellaneous;board game playing, sitting;1,50
miscellaneous;casino gambling, standing;2,50
miscellaneous;card playing,sitting;1,50
miscellaneous;chess game, sitting;1,50
miscellaneous;copying documents, standing;1,50
miscellaneous;drawing, writing, painting, standing;1,80
miscellaneous;laughing, sitting;1,00
miscellaneous;sitting, reading, book, newspaper, etc.;1,30
miscellaneous;sitting, writing, desk work, typing;1,30
miscellaneous;sitting, playing traditional video game, computer game;1,00
miscellaneous;standing, talking in person, on the phone, computer, or text messaging, light effort;1,80
miscellaneous;sitting, talking in person, on the phone, computer, or text messaging, light effort;1,50
miscellaneous;sitting, studying, general, including reading and/or writing, light effort;1,30
miscellaneous;sitting, in class, general, including note-taking or class discussion;1,80
miscellaneous;standing, reading;1,80
miscellaneous;standing, miscellaneous;2,50
miscellaneous;sitting, arts and crafts, carving wood, weaving, spinning wool, light effort;1,80
miscellaneous;sitting, arts and crafts, carving wood, weaving, spinning wool, moderate effort;3,00
miscellaneous;standing, arts and crafts, sand painting, carving, weaving, light effort;2,50
miscellaneous;standing, arts and crafts, sand painting, carving, weaving, moderate effort;3,30
miscellaneous;standing, arts and crafts, sand painting, carving, weaving, vigorous effort;3,50
miscellaneous;retreat/family reunion activities involving sitting, relaxing, talking, eating;1,80
miscellaneous;retreat/family reunion activities involving playing games with children;3,00
miscellaneous;touring/traveling/vacation involving riding in a vehicle;2,00
miscellaneous;touring/traveling/vacation involving walking;3,50
miscellaneous;camping involving standing, walking, sitting, light-to-moderate effort;2,50
miscellaneous;sitting at a sporting event, spectator;1,50
music playing;accordion, sitting;1,80
music playing;cello, sitting;2,30
music playing;conducting orchestra, standing;2,30
music playing;double bass, standing;2,50
music playing;drums, sitting;3,80
music playing;drumming (e.g., bongo, conga, benbe), moderate, sitting;3,00
music playing;flute, sitting;2,00
music playing;horn, standing;1,80
music playing;piano, sitting;2,30
music playing;playing musical instruments, general;2,00
music playing;organ, sitting;2,00
music playing;trombone, standing;3,50
music playing;trumpet, standing;1,80
music playing;violin, sitting;2,50
music playing;woodwind, sitting;1,80
music playing;guitar, classical, folk, sitting;2,00
music playing;guitar, rock and roll band, standing;3,00
music playing;marching band, baton twirling, walking, moderate pace, general;4,00
music playing;marching band, playing an instrument, walking, brisk pace, general;5,50
music playing;marching band, drum major, walking;3,50
occupation;active workstation, treadmill desk, walking;2,30
occupation;airline flight attendant;3,00
occupation;bakery, general, moderate effort;4,00
occupation;bakery, light effort;2,00
occupation;bookbinding;2,30
occupation;building road, driving heavy machinery;6,00
occupation;building road, directing traffic, standing;2,00
occupation;carpentry, general, light effort;2,50
occupation;carpentry, general, moderate effort;4,30
occupation;carpentry, general, heavy or vigorous effort;7,00
occupation;carrying heavy loads (e.g., bricks, tools);8,00
occupation;carrying moderate loads up stairs, moving boxes 25-49 lbs;8,00
occupation;chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart;4,00
occupation;coal mining, drilling coal, rock;5,30
occupation;coal mining, erecting supports;5,00
occupation;coal mining, general;5,50
occupation;coal mining, shoveling coal;6,30
occupation;cook, chef;2,50
occupation;construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous);4,00
occupation;custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning);2,30
occupation;custodial work, moderate effort (e.g., electric buffer, feathering arena floors, mopping, taking out trash, vacuuming);3,80
occupation;electrical work (e.g., hook up wire, tapping-splicing);3,30
occupation;engineer (e.g., mechanical or electrical);1,80
occupation;farming, vigorous effort (e.g., baling hay, cleaning barn);7,80
occupation;farming, moderate effort (e.g., feeding animals, chasing cattle by walking and/or horseback, spreading manure, harvesting crops);4,80
occupation;farming, light effort (e.g., cleaning animal sheds, preparing animal feed);2,00
occupation;farming, driving tasks (e.g., driving tractor or harvester);2,80
occupation;farming, feeding small animals;3,50
occupation;farming, feeding cattle, horses;4,30
occupation;farming, hauling water for animals, general hauling water,farming, general hauling water;4,30
occupation;farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing, medical care, branding), general;4,50
occupation;farming, rice, planting, grain milling activities;3,80
occupation;farming, milking by hand, cleaning pails, moderate effort;3,50
occupation;farming, milking by machine, light effort;1,30
occupation;fire fighter, general;8,00
occupation;fire fighter, rescue victim, automobile accident, using pike pole;6,80
occupation;fire fighter, raising and climbing ladder with full gear, simulated fire suppression;8,00
occupation;fire fighter, hauling hoses on ground, carrying/hoisting equipment, breaking down walls etc., wearing full gear;9,00
occupation;fishing, commercial, light effort;3,50
occupation;fishing, commercial, moderate effort;5,00
occupation;fishing, commercial, vigorous effort;7,00
occupation;forestry, ax chopping, very fast, 1.25 kg axe, 51 blows/min, extremely vigorous effort;17,50
occupation;forestry, ax chopping, slow, 1.25 kg axe, 19 blows/min, moderate effort;5,00
occupation;forestry, ax chopping, fast, 1.25 kg axe, 35 blows/min, vigorous effort;8,00
occupation;forestry, moderate effort (e.g., sawing wood with power saw, weeding, hoeing);4,50
occupation;forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand);8,00
occupation;furriery;4,50
occupation;garbage collector, walking, dumping bins into truck;4,00
occupation;hairstylist (e.g., plaiting hair, manicure, make-up artist);1,80
occupation;horse grooming, including feeding, cleaning stalls, bathing, brushing, clipping, longeing and exercising horses;7,30
occupation;horse, feeding, watering, cleaning stalls, implied walking and lifting loads;4,30
occupation;horse racing, galloping;7,30
occupation;horse racing, trotting;5,80
occupation;horse racing, walking;3,80
occupation;kitchen maid;3,00
occupation;lawn keeper, yard work, general;4,00
occupation;laundry worker;3,30
occupation;locksmith;3,00
occupation;machine tooling (e.g., machining, working sheet metal, machine fitter, operating lathe, welding) light-to-moderate effort;3,00
occupation;Machine tooling, operating punch press, moderate effort;5,00
occupation;manager, property;1,80
occupation;manual or unskilled labor, general, light effort;2,80
occupation;manual or unskilled labor, general, moderate effort;4,50
occupation;manual or unskilled labor, general, vigorous effort;6,50
occupation;masonry, concrete, moderate effort;4,30
occupation;masonry, concrete, light effort;2,50
occupation;massage therapist, standing;4,00
occupation;moving, carrying or pushing heavy objects, 75 lbs or more, only active time (e.g., desks, moving van work);7,50
occupation;skindiving or SCUBA diving as a frogman, Navy Seal;12,00
occupation;operating heavy duty equipment, automated, not driving;2,50
occupation;orange grove work, picking fruit;4,50
occupation;painting,house, furniture, moderate effort;3,30
occupation;plumbing activities;3,00
occupation;printing, paper industry worker, standing;2,00
occupation;police, directing traffic, standing;2,50
occupation;police, driving a squad car, sitting;2,50
occupation;police, riding in a squad car, sitting;1,30
occupation;police, making an arrest, standing;4,00
occupation;postal carrier, walking to deliver mail;2,30
occupation;shoe repair, general;2,00
occupation;shoveling, digging ditches;7,80
occupation;shoveling, more than 16 lbs/minute, deep digging, vigorous effort;8,80
occupation;shoveling, less than 10 lbs/minute, moderate effort;5,00
occupation;shoveling, 10 to 15 lbs/minute, vigorous effort;6,50
occupation;sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work);1,50
occupation;sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting);1,50
occupation;sitting tasks, moderate effort (e.g., pushing heavy levers, riding mower/forklift, crane operation);2,50
occupation;sitting, teaching stretching or yoga, or light effort exercise class;2,80
occupation;standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work, changing clothes when teaching physical education, standing);3,00
occupation;standing, light/moderate effort (e.g., assemble/repair heavy parts, welding,stocking parts,auto repair,standing, packing boxes, nursing patient care);3,00
occupation;standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting;4,50
occupation;standing, moderate effort, intermittent lifting 50 lbs, hitch/twisting ropes;3,50
occupation;standing, moderate/heavy tasks (e.g., lifting more than 50 lbs, masonry, painting, paper hanging);4,50
occupation;steel mill, moderate effort (e.g., fettling, forging, tipping molds);5,30
occupation;steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace);8,30
occupation;tailoring, cutting fabric;2,30
occupation;tailoring, general;2,50
occupation;tailoring, hand sewing;1,80
occupation;tailoring, machine sewing;2,50
occupation;tailoring, pressing;3,50
occupation;tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork);2,00
occupation;tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yam to spinners, loading of warp bean, pinwinding, conewinding, warping, cloth cutting);4,00
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads;6,50
occupation;Truck, driving delivery truck, taxi, shuttlebus, school bus;2,00
occupation;typing, electric, manual or computer;1,30
occupation;using heavy power tools such as pneumatic tools (e.g., jackhammers, drills);6,30
occupation;using heavy tools (not power) such as shovel, pick, tunnel bar, spade;8,00
occupation;walking on job, less than 2.0 mph, very slow speed, in office or lab area;2,00
occupation;walking on job, 3.0 mph, in office, moderate speed, not carrying anything;3,50
occupation;walking on job, 3.5 mph, in office, brisk speed, not carrying anything;4,30
occupation;walking on job, 2.5 mph, slow speed and carrying light objects less than 25 lbs;3,50
occupation;walking, gathering things at work, ready to leave;3,00
occupation;walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs;3,80
occupation;walking, 3.0 mph, moderately and carrying light objects less than 25 lbs;4,50
occupation;walking, pushing a wheelchair;3,50
occupation;walking, 3.5 mph, briskly and carrying objects less than 25 lbs;4,80
occupation;walking or walk downstairs or standing, carrying objects about 25 to 49 lbs;5,00
occupation;walking or walk downstairs or standing, carrying objects about 50 to 74 lbs;6,50
occupation;walking or walk downstairs or standing, carrying objects about 75 to 99 lbs;7,50
occupation;walking or walk downstairs or standing, carrying objects about 100 lbs or more;8,50
occupation;working in scene shop, theater actor, backstage employee;3,00
running;jog/walk combination (jogging component of less than 10 minutes);6,00
running;jogging, general;7,00
running;jogging, in place;8,00
running;jogging, on a mini-tramp;4,50
running;Running, 4 mph (13 min/mile);6,00
running;running, 5 mph (12 min/mile);8,30
running;running, 5.2 mph (11.5 min/mile);9,00
running;running, 6 mph (10 min/mile);9,80
running;running, 6.7 mph (9 min/mile);10,50
running;running, 7 mph (8.5 min/mile);11,00
running;running, 7.5 mph (8 min/mile);11,50
running;running, 8 mph (7.5 min/mile);11,80
running;running, 8.6 mph (7 min/mile);12,30
running;running, 9 mph (6.5 min/mile);12,80
running;running, 10 mph (6 min/mile);14,50
running;running, 11 mph (5.5 min/mile);16,00
running;running, 12 mph (5 min/mile);19,00
running;running, 13 mph (4.6 min/mile);19,80
running;running, 14 mph (4.3 min/mile);23,00
running;running, cross country;9,00
running;running;8,00
running;running, stairs, up;15,00
running;running, on a track, team practice;10,00
